Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday,Year,Month,Day,Day_of_Week,Quarter,Lag_1,Lag_7,Lag_14,Lag_30,Rolling_Mean_7,Rolling_Mean_30
2023-01-31,P001,S001,139,27800,0,0,2023,1,31,1,1,153.0,157.0,139.0,162.0,147.71428571428572,142.73333333333332
2023-01-31,P001,S002,183,36600,1,0,2023,1,31,1,1,195.0,179.0,183.0,209.0,169.71428571428572,161.13333333333333
2023-01-31,P001,S003,121,24200,1,0,2023,1,31,1,1,139.0,121.0,116.0,163.0,123.57142857142856,124.66666666666669
2023-01-31,P002,S001,139,34750,0,0,2023,1,31,1,1,144.0,176.0,172.0,240.0,179.14285714285714,176.26666666666668
2023-01-31,P002,S002,182,45500,0,0,2023,1,31,1,1,194.0,177.0,186.0,243.0,208.28571428571428,204.4333333333333
2023-01-31,P002,S003,136,34000,0,0,2023,1,31,1,1,134.0,156.0,150.0,191.0,157.28571428571428,162.16666666666666
2023-01-31,P003,S001,91,13650,0,0,2023,1,31,1,1,119.0,105.0,107.0,117.0,118.57142857142856,118.8
2023-01-31,P003,S002,112,16800,0,0,2023,1,31,1,1,128.0,137.0,123.0,183.0,134.85714285714286,136.36666666666667
2023-01-31,P003,S003,96,14400,0,0,2023,1,31,1,1,99.0,91.0,88.0,128.0,108.42857142857144,108.43333333333334
2023-01-31,P004,S001,218,65400,1,0,2023,1,31,1,1,208.0,177.0,202.0,250.0,200.42857142857144,206.7
2023-01-31,P004,S002,318,95400,1,0,2023,1,31,1,1,229.0,221.0,312.0,291.0,234.57142857142856,249.53333333333333
2023-01-31,P004,S003,166,49800,0,0,2023,1,31,1,1,185.0,186.0,170.0,251.0,189.28571428571428,192.26666666666668
2023-01-31,P005,S001,184,33120,1,0,2023,1,31,1,1,169.0,138.0,131.0,194.0,164.0,153.43333333333334
2023-01-31,P005,S002,182,32760,0,0,2023,1,31,1,1,213.0,148.0,154.0,212.0,178.28571428571428,178.33333333333334
2023-01-31,P005,S003,121,21780,0,0,2023,1,31,1,1,119.0,158.0,112.0,165.0,145.0,139.36666666666667
2023-02-01,P001,S001,130,26000,0,0,2023,2,1,2,1,139.0,121.0,127.0,139.0,145.14285714285714,141.96666666666667
2023-02-01,P001,S002,181,36200,1,0,2023,2,1,2,1,183.0,176.0,148.0,136.0,170.28571428571428,160.26666666666668
2023-02-01,P001,S003,145,29000,1,0,2023,2,1,2,1,121.0,110.0,140.0,115.0,123.57142857142856,123.26666666666668
2023-02-01,P002,S001,198,49500,1,0,2023,2,1,2,1,139.0,164.0,173.0,158.0,173.85714285714286,172.9
2023-02-01,P002,S002,213,53250,1,0,2023,2,1,2,1,182.0,184.0,177.0,191.0,209.0,202.4
2023-02-01,P002,S003,157,39250,0,0,2023,2,1,2,1,136.0,147.0,139.0,177.0,154.42857142857142,160.33333333333334
2023-02-01,P003,S001,110,16500,0,0,2023,2,1,2,1,91.0,130.0,97.0,118.0,116.57142857142856,117.93333333333334
2023-02-01,P003,S002,155,23250,0,0,2023,2,1,2,1,112.0,113.0,118.0,151.0,131.28571428571428,134.0
2023-02-01,P003,S003,110,16500,0,0,2023,2,1,2,1,96.0,129.0,80.0,124.0,109.14285714285714,107.36666666666666
2023-02-01,P004,S001,198,59400,0,0,2023,2,1,2,1,218.0,153.0,207.0,178.0,206.28571428571428,205.63333333333333
