Feature,Importance
numeric__Rolling_Mean_30,0.7393092854731943
numeric__Promotion,0.08936637169157821
numeric__Rolling_Mean_7,0.06093368361212109
numeric__Day_of_Week,0.02769966799554501
numeric__Lag_1,0.011380558261061836
numeric__Lag_14,0.011233237970704127
numeric__Lag_7,0.011115158891265804
numeric__Lag_30,0.010842984162540904
numeric__Day,0.01045566420496375
numeric__Holiday,0.009859929949690632
numeric__Month,0.007985374995115636
numeric__Year,0.0025983107829381275
numeric__Quarter,0.001785256319885744
categorical__Store_ID_S001,0.0009446661408120004
categorical__Store_ID_S002,0.000918479321141908
categorical__Product_ID_P002,0.0008161738940182274
categorical__Store_ID_S003,0.0007590471731439901
categorical__Product_ID_P005,0.0006822236019419155
categorical__Product_ID_P001,0.0005630857181162877
categorical__Product_ID_P004,0.0005018310364849843
categorical__Product_ID_P003,0.00024900880373553326
